jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Magula, Martin",Praha 5,www.martinmagula.cz,Nepřijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Žabenská, Magda",Ostrava,www.terapievostrave.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Liashenko, Olena",Kladno,"""neuvedeno""",Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Brooks, Justin",Lanškroun,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Kuželková, Helena",Praha 4,www.TIPTERA s.r.o.,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Gasior, Michaela",Dobřichovice,www.svpd.cz; www.da-psychoterapie.cz;,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Brýdlová, Helena",Praha 3,www.brydlova.eu,Přijímám nové klienty,"On-line, Osobně",,Jiný
"Jindrová, Hana",Pardubice,https://psycholog-jindra.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně",Jiný
"Bryks, Antonín",Orlová Lutyně,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Diondet, Sofie",Praha-Smíchov,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",On-line,Kognitivně-behaviorální terapie
"Smutková, Lucie",Hradec Králové,www.supervizepsychoterapie.cz (ve výstavbě),Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Majtán, Tomáš",Praha 2,http://terapiemajtan.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Belicova, Marcela",Prostějov,www.materapie.cz,Přijímám nové klienty,neuvedeno,"Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Bodnarová, Michaela",Praha 6,,Info o dostupnosti na vyžádání,,,Psychoterapie zaměřená na tělo
"Šímová, Leona",Praha 1,www.jaknadusi.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Doležel, Štěpán",Boskovice,www.be-fine.cz,Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Bárta, Marek",Hradec Kálové,terapie-barta.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kristková, Barbora",Zlín,,Info o dostupnosti na vyžádání,,,Kognitivně-behaviorální terapie
"Mai, Minh Ngoc",Praha 1,minhi.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Nikolla, Martina",Praha 1,https://martinanikolla.cz/,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kramerová, Rita",Praha,www.nedousek.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Moravíková, Gabriela",Cheb,neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Broukova, Silvie",Praha 10,www.silviebrouk.com,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Syrovátková, Radana",Praha 6,,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Cahová, Veronika",Frýdek-Místek,www.kbtcahova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně",Kognitivně-behaviorální terapie
"Závorková, Jana",Slavkov u Brna,https://www.psycholog-u-brna.cz/,Nepřijímám nové klienty,On-line,,Kognitivně-behaviorální terapie
"Kovaříková, Alena",Brno,alenakovarikova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Skutková, Monika",Brno,https://www.monikaskutkova.cz/,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Křížová, Hana",Praha 2,www.hanakrizova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kačerovská, Michaela",Středokluky Praha západ,https://psychoterapie1.webnode.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lebdušková, Radka",Chrudim,www.psychoart.cz,Info o dostupnosti na vyžádání,neuvedeno,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Remešová, Eliška",Praha,"www.mezilidmi.cz , www.eliskaremesova.cz",Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Brožková, Kateřina",Praha 10,www.bkterapierodiny.cz,Přijímám nové klienty,Osobně,,"Systémové, systemické a komunikační pojetí"
"Literáková, Kateřina",Písek,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Psychoterapie zaměřená na tělo
"Sukaná, Klára",Uherský Brod,www.klarasukana.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Sekera, Julius",Ostrava,,Info o dostupnosti na vyžádání,,,Integrativní a eklektické pojetí
"Pavelková, Eva",Ostrava,www.psychologiepavelkova.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",Osobně,"Systémové, systemické a komunikační pojetí"
"Lacinová, Tereza",Kolín,www.terapielacinova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kukla, Vojtěch",Pardubice,www.vojtechkukla.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Medenčevič, Jasenica",Praha 2,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Drahorádová, Anna",Praha 3,psychoterapie.reichova.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, Osobně","Systémové, systemické a komunikační pojetí"
"Honsová, Radka",-,,Info o dostupnosti na vyžádání,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Faistová, Pavlína",Žamberk,www.pavlinafaistova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,On-line,Integrativní a eklektické pojetí
"Hazuková, Martina",Praha 1,https://martinahazukova.cz www.edutera.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Semrád, Martin",Praha,https://semradpsycholog.cz/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Tiziani, Barbara",Praha 1,"https://psychologie-a-terapie-tiziany.cms.webnode.cz/, profil na Terapie.cz",Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Sládková, Hana",Praha 4,www.terapie11.cz,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Böhmová, Gabriela",Praha 8,,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kohoutková, Lenka",Praha 3,https://vpcentrum.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Opletalová, Pavlína",Světlá Hora,www.pastorbonus.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Dvořáková, Klára",Praha 1,www.terapion.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Drahotová, Kateřina",Žižkov,www.katkadrahotova.cz,Info o dostupnosti na vyžádání,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Neuwirthová, Štěpánka",Šestajovice,https://www.psycholog-neuwirthova.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kalusová, Simona",Krnov,www.simonakalusova.cz,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Zolina, Oleksandra",Děčín,,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Formánková, Lenka",Praha 6,,Přijímám nové klienty,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Králová, Eva",Praha 4 - Kunratice,www.poradenstvi-osobniho-rozvoje.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","Možnost terapie venku, On-line, Osobně",Psychoterapie zaměřená na tělo
"Řádková, Lucie",Praha 1,www.lucieradkova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Koch Dufková, Tereza",Praha 8 Karlín,www.respektujme.se,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Holčapková, Jitka",Praha 7,neuvedeno,Nepřijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Chodlová, Tereza",Plzeň,https://www.psychoterapie-porozumeni.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Krejčová, Michala",Praha Nusle,https://www.terapiepraha.com/,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Navaříková Goláňová, Barbora",Řevnice,www.terapieuberounky.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Rovnerová, Aneta Kristofora",Praha,www. boromejky.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Nohýnková, Anna",Brno,annanohynkova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Schejbalová, Michaela",Chrudim,www.michaela-schejbalova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Bajgarová, Kristýna",Praha,https://www.kristynabajgarova.com/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Košeleva, Světlana",Praha 9 Klánovice,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Jiný
"Göttlicher, Roman",Frýdek-Místek,www.romangottlicher.cz,Přijímám nové klienty,neuvedeno,"On-line, Osobně",Integrativní a eklektické pojetí
"Stavjaník, Martin",Zlín,www.terapiestavjanikovi.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Charvátová, Veronika",Velké Heraltice,neuvedeno,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Motl, Jiří",Praha 2,https://psychoterapie-v-praze.cz/,Nepřijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Glancová, Vendula",Praha 7,www.glancporadenstvi.cz,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mauer, Miloš",Liberec 1,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,Psychoterapie zaměřená na tělo
"Kvěchová, Lenka",Praha 7 - Holešovice,www.psycholog-kvechova.cz,Info o dostupnosti na vyžádání,,,Integrativní a eklektické pojetí
"Vojtíšková, Karolína",Hradec Králové,neuvedeno,Nepřijímám nové klienty,"Dospělí 18-69, neuvedeno",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Šiklová, Gabriela","Praha 3, Žižkov",,Info o dostupnosti na vyžádání,,,Psychoterapie zaměřená na tělo
"Rott, Lucia",Praha,https://www.luciarott.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Javůrková, Barbora",Brno,www.rozumacit.com,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Berounská, Helena",Praha 4 - Podolí,www.helena-gry.com,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štindlová, Jana",Praha 7,stindlova.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Krčmářová, Barbora","Praha, Vinohrady",https://www.barakrcmarova.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pojmanová Pandadis, Tereza",Brandýs nad Labem - Stará Boleslav,www.terezapojmanova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Dvořáčková, Anna",Praha,Neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Horák, Matěj",Hradec Králové,www.matejhorak.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Čejka, Vít",Hradec Králové,neuvedeno,Info o dostupnosti na vyžádání,neuvedeno,Osobně,Integrativní a eklektické pojetí
"Kostínková, Jana",Brno,https://www.psychoterapie-integrace.cz/lektori/jana-kostinkova,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Bartošová Kavková, Jitka",Praha 10-Vršovice,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kábelová, Kateřina",Pardubice,https://psychoterapeut-pardubice.cz/index.html,Přijímám nové klienty,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Tichý, Tomáš",Praha 1,https://www.tichypsycholog.cz/,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Zach, Peter",Brno,https://centrumvsimavosti.cz/mgr-peter-zach,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Růžička, Michal",Olomouc.,https://mindtreat.art/,Přijímám nové klienty,"On-line, Osobně",,Kognitivně-behaviorální terapie
